id_lattes	titulo	titulo_livro	autores
0012115884315180		Educação ambiental e políticas públicas: conceitos, fundamentos e vivências	LUCA, Andrea Quirino de; BRIANEZI, T.
0012115884315180		Educação ambiental e políticas públicas: conceitos, fundamentos e vivências	LUCA, Andrea Quirino de; ANDRADE, Daniel Fonseca de
0012115884315180		Educação ambiental e políticas públicas: conceitos, fundamentos e vivências	SORRENTINO, M.; SIM, E. F. C.; SACCONI, L. V.; PORTUGAL, S.; NAVARRO, S. M.; MACHADO, J. T.; MORIMOTO, I. A.; LUCA, Andrea Quirino de; FERREIRA, L. E. C.; GUNTZEL-RISSATO, C.; COSTA-PINTO, A. B.; COATI, A. P.; BRIANEZI, T.; BIDINOTO, V. M.; BIASOLI, S. A.; BARBOSA, C. R.; ANDRADE, Daniel Fonseca de; ALVES, D. M. G.
0012115884315180		Flora Fanerogâmica do Estado de São Paulo.	TORRES, R. B.; LUCA, Andrea Quirino de
0040695888742470		Investigación en el ámbito escolar un acercamiento multidimensional a las variables psicológicas y educativas	Menin; MORO, A.
0040695888742470		Experiências na educação infantil: narrar e refletir é preciso	MENIN, M. S. S.; TOGNETTA, L. R. P.; TAVARES, M. R.; BATAGLIA, P. U. R.; MARTINS, R. A.; VINHA, T. P.; MORO, A.
0104101183728820		Reatividade do Carvão Vegetal	MATOS, M., MARCELO DE MATOS, M. de MATOS; RIOS, C. A.
0104101183728820		Caracteristicas dos Produtos da Carbonização da Madeira - In: Gaseificação da Madeira e Carvão Vegetal	MATOS, M., MARCELO DE MATOS, M. de MATOS; ALMEIDA, M. R.; OLIVEIRA, L. T.
0104101183728820		Fundamentos do Refino Secundário do Aço	MATOS, M., MARCELO DE MATOS, M. de MATOS
0132962254118970		Psicologia da Saúde: Temas de Reflexão e Prática	YAMAMOTO, Kayoko
0132962254118970		Temas de Prevenção, Ensino e Pesquisa que Permeiam o Contexto Hospitalr	YAMAMOTO, Kayoko
0132962254118970		III Jornada Apoiar - Atendimentos Clínicos Diferenciados e Inclusão: O Papel da Psicolgogia Clínica Social	YAMAMOTO, Kayoko
0132962254118970		Progressos em Psicoterapia Psicanalítica: 10 anos - uma história	YAMAMOTO, Kayoko
0132962254118970		Apoiar - Atendimentos Clínicos diferenciados e Inclusão: O Papel da Psicologia Clínica	YAMAMOTO, Kayoko; TARDIVO, Leila Salomão La Plata Cury
0132962254118970		APOIAR Novas Propostas em Psicologia Clínica	ALTMAN, M.; YAMAMOTO, Kayoko; Schwarz, Lidia Rodrigues; TARDIVO, Leila Salomão La Plata Cury
0132962254118970		APOIAR Novas Propostas em Psicologia Clínica	YAMAMOTO, Kayoko
0132962254118970		Ludodiagnóstico: Investigação Clínica Através do Brinquedo. Ludodiagnóstico: Investigação Clínica Através do Brinquedo	SIMON, Ryad; YAMAMOTO, Kayoko
0138635150609180		Design frontiers: territories, concepts, technologies [livro eletrônico]	BASTOS, Helena Rugai
0138635150609180		Xico Santeiro: uma escola de arte popular	BASTOS, Helena Rugai
0138635150609180		ETD?17 Ergotrip Design: coletânea de textos selecionados pela Comissão Científica dos encontros internacionais de estudos luso-brasileiros em Design e Ergonomia	MELO, A. C. F.; BASTOS, Helena Rugai
0138635150609180		ETD?17 - 6º Ergotrip Design, Aveiro: livro de resumos	MELO, A. C. F.; BASTOS, Helena Rugai
