id_lattes	titulo	autores
0012115884315180	Coletivo Educador Ambiental de Campinas (COEDUCA): uma análise preliminar de sua dinâmica interna de participação.	Costa-Pinto, Alessandra Buonavoglia; LUCA, Andrea Quirino de; Castellano, Maria
0012115884315180	O COEDUCA na construção da transição paradigmática - uma reflexão sobre emancipação social e política pública.	LUCA, Andrea Quirino de; Tonso, Sandro
0012115884315180	Uma análise preliminar da trajetória de formação dos articuladores do Coletivo Educador Ambiental de Campinas	LUCA, Andrea Quirino de; Costa-Pinto, Alessandra Buonavoglia; Cardoso, Mário Mariano Ruiz
0012115884315180	O conceito de Comunidade na educação ambiental	LUCA, Andrea Quirino de; Brianezi, Thaís; SORRENTINO, Marcos
0012115884315180	O diálogo como estratégia de enraizamento de políticas públicas em educação ambiental à luz do Programa Nacional de EA (ProNEA)	ANDRADE, Daniel Fonseca de; LUCA, Andrea Quirino de; SORRENTINO, Marcos
0012115884315180	Educação Ambiental e Análise de Discurso: uma proposta de pesquisa	LUCA, Andrea Quirino de
0012115884315180	Educação Ambiental no contexto da Bacia dos Rios Piracicaba, Capivari e Jundiaí	Biasoli, Semíramis Albuquerque; LUCA, Andrea Quirino de; Tonso, Sandro; Rutkowski, Emília Wanda
0012115884315180	Análise de Discurso da Política Pública de Educação Ambiental do Brasil	LUCA, A.Q.; SORRENTINO, M.; LAGAZZI, S. M.
0020677298488540	Avaliação da atividade in vitro e in vivo de uma nova hidroxinaftoquinona	FERREIRA, R. A.; OLIVEIRA, A. B.; VITOR, R. W. A.; RIBEIRO, M. F. B.; TAFURI, W.
0020677298488540	Synthesis os Potentially Antiparasital Naphthoquinones	GUALBERTO, S. A.; OLIVEIRA, A. B.; FERREIRA, R. A.
0040695888742470	AVALIANDO VALORES EM ALUNOS DO ENSINO FUNDAMENTAL E MÉDIO E SEUS PROFESSORES. UMA PESQUISA QUE SE INICIA.	MENIN, M. S. S.; TAVARES, M. R.; MORO, A.; TOGNETTA, L. R. P.; VINHA, T. P.; TARDELI, D. D.; MARTINS, R. A.
0040695888742470	Mensurando o valor de justiça em crianças: comparação de respostas espontâneas e dirigidas num questionário com história	MENIN, M. S. S.; MORO, A.
0040695888742470	A Adesão aos valores de justiça e respeito em escolares - aplicação em escolas da rede de São Paulo	TAVARES, M. R.; MENIN, M. S. S.; MORO, A.
0040695888742470	THE EVALUATION OF SCHOOL CLIMATE: BUILDING AND VALIDATION EVIDENCES OF MEASURING INSTRUMENTS FOR THE BRAZILIAN REALITY	MORO, A.; MORAIS, A.; VINHA, T. P.; TOGNETTA, L. R. P.
0040695888742470	CONSTRUÇÃO E VALIDAÇÃO DE UMA ESCALA DE VALORES SOCIOMORAIS	BATAGLIA, P. U. R.; MARTINS, R. A.; MORO, A.
0040695888742470	A JUSTIÇA COMO VALOR MORAL: REPRESENTAÇÕES SOCIAIS DE ALUNOS DO ENSINO FUNDAMENTAL	MORO, A.
0104101183728820	Simulação Matemática de Decomposição de Carbonato de Cálcio - Parte II: Aplicação do Modelo	LIMA, J. E. R.; MATOS, M., MARCELO DE MATOS, M. de MATOS
0104101183728820	Simulação Matemática de Decomposição de Carbonato de Cálcio - Parte I: Verificação Experimental	LIMA, J. E. R.; MATOS, M., MARCELO DE MATOS, M. de MATOS
0104101183728820	Modelamento Matemático da Redução dos óxidos de Ferro Considerando-se as Presenças de Fe2O3, Fe3O4, FeO e Fe - Parte II: Estudo Experimental	SAAB, M. W.; MATOS, M., MARCELO DE MATOS, M. de MATOS
0104101183728820	Modelamento Matemático da Redução dos óxidos de Ferro Considerado-se as Presenças de Fe2O3, Fe3O4, FeO e Fe - Parte I: Estudo Teórico	SAAB, M. W.; MATOS, M., MARCELO DE MATOS, M. de MATOS
0104101183728820	Estudos de Desvolatização do Carvão Vegetal. Parte II: Composição da Fase Gasosa	RIOS, C. A.; MATOS, M., MARCELO DE MATOS, M. de MATOS; SAAB, M. W.; ARAÚJO, W. P.
0104101183728820	Estudos de Desvolatização do Carvão Vegetal - Parte: I: Perda de Peso	RIOS, C. A.; MATOS, M., MARCELO DE MATOS, M. de MATOS; SAAB, M. W.; ARAÚJO, W. P.
0104101183728820	Desenvolvimento Tecnológicos para a Produção de Ferro-Ligas a partir de Minérios Nacionais	MATOS, M., MARCELO DE MATOS, M. de MATOS
0104101183728820	Análise da Dessulfuração no Alto Forno	LANNA, A. T.; GONÇALVES, C. A.; MATOS, M., MARCELO DE MATOS, M. de MATOS
