id_lattes	titulo	autores
0040695888742470	Manual de Orientação para aplicação dos questionários que avaliam o Clima Escolar	VINHA, T. P.; MORAIS, A.; MORO, A.
0040695888742470	Da Escola para a vida em Sociedade: O valor da Convivência Democrática	VINHA, T. P.; NUNES, C. A. A.; SILVA, L. M. F.; VIVALDI, F. M. C.; MORO, A.
0132962254118970	Variedades de Transferência na Clínica Psicanalítica	YAMAMOTO, Kayoko; SIMON, Ryad
0132962254118970	Psicologia da Saúde: Temas de Reflexão e Prática	YAMAMOTO, Kayoko; OLIVEIRA, Vera Barros de
0132962254118970	Orelha de Livro: Como Interpretar na Psicoterapia Breve Psicodinâmica	YAMAMOTO, Kayoko
0132962254118970	Orelha de livro: Hospitalização: o impacto na criança, no adolescente e no psicólogo hospitalar	YAMAMOTO, Kayoko; NIGRO, M
0132962254118970	Nas Fronteiras da Psicoterapia Psicanalítica	YAMAMOTO, Kayoko; SIMON, Ryad; LEVINZON, Gina Khafif
0132962254118970	Psicoterapia Preventiva da Família: métodos e ilustrações clínicas	YAMAMOTO, Kayoko
0132962254118970	11º Encontro do Curso de Especialização em Psicoterapia Psicanalítica  NOVOS DESAFIOS EM PSICOTERAPIA PSICANALÍTICA	SIMON, Ryad; LEVINZON, Gina Khafif; YAMAMOTO, Kayoko
0132962254118970	13º Encontro do Curso de Especialização em Psicoterapia Psicanalítica "Psicoterapia Psicanalítica na Atualidade"	SIMON, Ryad; YAMAMOTO, Kayoko; LEVINZON, Gina Khafif
0132962254118970	14º Encontro do Curso de Especialização em Psicoterapia Psicanalítica intitulado  Expansões em Psicoterapia Psicanalítica	SIMON, Ryad; YAMAMOTO, Kayoko; LEVINZON, Gina Khafif
0138635150609180	Xico Santeiro: uma escola de arte popular	RAMOS, E. A.; BASTOS, Helena Rugai
0138635150609180	8º Congresso Internacional de Design da Informação / 8º Congresso Nacional de Iniciação Científica em design da informação	SANTA ROSA, J. G. S.; PORTUGAL, C.; FADEL, L. M.; BASTOS, Helena Rugai; ROMANI, E.
