has_abstract_of_College;
"College (Latin: collegium) educational institution or a constituent part of one. A college may be a degree-awarding tertiary educational institution, a part of a collegiate university, or an institution offering vocational education. In the United States ""College"" refers to a constituent part of a university, but generally ""College"" and ""university"" are used interchangeably, whereas in Oceania and South Asia, ""College"" may refer to a secondary or high school, a college of further education, a training institution that awards trade qualifications, or a constituent part of a university (See this comparison of British and American English educational terminology for further information).;"
الكلية (بالإنجليزية: College) تطلق على أي مؤسسة تعليمية تقدم شهادات عليا لما بعد المرحلة الثانوية كما تطلق على أقسام الجامعات فيقال مثلا كلية إدارة الأعمال أو كلية تقنية المعلومات و الحاسوب.;
Colleges (lateinisch collegium academiae, Studiengemeinschaft) sind Bildungseinrichtungen unterschiedlichen Typs in Ländern, in denen Englisch die Amts- oder vorrangige Verkehrssprache ist, so beispielsweise in England und den USA. Teilweise werden sehr unterschiedliche Bildungseinrichtungen als College bezeichnet. So wird in den USA oft auch eine Hochschule so genannt, kann aber als Community College auch eine sonstige Institution zur Berufsausbildung bezeichnen. In Großbritannien und Irland können darunter sowohl eine Schule als auch eine Hochschule oder gar nur Teile davon verstanden werden. In Frankreich bezeichnet Collège die école secondaire, die in etwa der Sekundarstufe I entspricht; im Deutschen ist Kolleg ein regional unterschiedlich verwendeter Begriff für eine Lerninstitution, beispielsweise Berufskolleg.;
College (léase /ˈkɒlɪdʒ/ en idioma inglés) es el término utilizado para denominar a una institución educativa, pero su significado varía en los países de habla inglesa; del mismo modo que en francés la variedad de instituciones educativas denominadas collège (con acento grave; léase /kɔ.lɛʒ/).;
Un collège peut désigner un groupe de personnes partageant une même caractéristique ou un établissement d'enseignement.;
Un college (in latino collegium) è un termine usato soprattutto nei paesi anglofoni per denotare genericamente un'istituzione educativa, o una parte di essa, specificatamente nel senso di residenza universitaria.;
カレッジ（英 college）とは、一部の教育機関（学校）とりわけ一部の高等教育機関。「仲間 (colleague) の集まり」を語源とし、歴史的には学寮、すなわち寮制の学校・高等教育機関に由来するが、今日ではより広く一部の学校・高等教育機関を指す。 現在の日本では、短期大学・専門学校・高等専門学校の多くと単科大学・女子大学・比較的小規模の総合大学の一部で、その英名として用いられる他、これらを模倣した教育講座の名称に用いられている。;
College (ang. college) – określenie związane z różnymi formami wyższej edukacji w krajach anglosaskich, szczególnie w Anglii i USA, a także w innych krajach zachodnioeuropejskich. Pierwotnie oznaczał miejsce, w którym żyli studenci uniwersytetu. College'e prowadziły też swoje kursy. Był to tak zwany system kolegialny, wywodzący się z Francji. Dziś college w powyższym rozumieniu funkcjonuje w Wielkiej Brytanii. W USA college to albo część uniwersytetu (analogicznie do wydziału w polskim systemie edukacyjnym), albo odrębna szkoła wyższa specjalizująca się w danej dziedzinie, nie będąca jednak uniwersytetem. Kończąc amerykański college, zwyczajowo uzyskuje się tytuł Bachelor of Arts lub Bachelor of Science, co jest odpowiednikiem tytułu licencjata według systemu Unii Europejskiej. Nauka w amerykańskim college'u trwa 4 lata. Z tytułem Bachelor można bezpośrednio rozpocząć zdobywanie tytułu Master lub PhD w Graduate School. College w połączeniu z Graduate School zwyczajowo tworzą amerykański uniwersytet. Innym typem college'ów są tzw. Community College, które po dwóch latach studiów nadają tytuł Associate. Odpowiednikiem jest polski technik.Termin college odnosi się w USA do wyższej edukacji niezależnie, czy kończy się tytułem Associate, czy Bachelor. Generalnie po szkole średniej idzie się do college'u. W Kanadzie termin ten stosuje się tylko do dwuletnich szkół (ponadśrednich) a nie do uniwersytetów. Istnieją jednak wyjątki: Kolegium Europejskie (College of Europe) kształci wyłącznie na poziomie podyplomowym, podobnie jak niektóre college’e uniwersytetów federacyjnych, jak chociażby All Souls College w Oksfordzie, zrzeszający wyłącznie profesorów. Wielu uczniów najpierw studiuje w Community College[potrzebny przypis], a następnie kontynuuje naukę w szkołach 4-letnich. Powodem takiego działania są dużo niższe koszty nauki i utrzymania niż w college'u 4-letnim.;
"Um colégio é, no seu sentido original, uma corporação constituída por membros de igual dignidade. Entre si, esses membros, designam-se ""colegas"". Etimologicamente, ""colégio"" tem origem no latim ""collegium"", por sua vez derivado de ""colligere"", que significa ""reunir"". O termo tem vindo a ser usado para designar vários tipos de corporações, incluindo algumas associações profissionais, bem como algumas instituições de ensino, especialmente aquelas onde os alunos residem.;"
"Ко́лледж (англ. college, лат. collegium — «товарищество, содружество») — учебное заведение в системах образования главным образом Великобритании, стран Британского Содружества и США. По уровню подготовки учащихся различают три типа колледжей: 
*  соответствующие уровню высшей школы (входят в состав университетов или автономные вузы); 
*  занимающие промежуточное положение между средними и высшими учебными заведениями; 
*  соответствующие старшим классам средней школы.;"
学院，又可譯為書院，是学校的意思。它的定義廣泛，可以指一所中學、大學、社區學院或職業院校等，視乎不同地區而定。;
