,id_lattes,titulo,autores,terms
0,123085996424788,Medician Diagnóstica - Algoritmos Diagnosticos em Medicina Interna,"Sampaio, J. L. M.","[('algoritmos', 'medician diagnóstica - algoritmos diagnosticos em medicina interna')]"
1,123085996424788,Medicina Diagnóstica - Algoritmos Diagnósticos em Medicina Interna,"MOISES, V. A.; PARDI, M. M.; DOIN, F. L. C.; SIQUEIRA, V. N.; GRANATO, C. F. H.; Sampaio, J. L. M.","[('algoritmos', 'medicina diagnóstica - algoritmos diagnósticos em medicina interna')]"
2,1306681534855748,Estudo e implementac&#807;a&#771;o de heuri&#769;sticas para otimizar os algoritmos aplicados a puzzle games,"NOVAES, G,M; BONIN, C. R. B.; ALMEIDA FILHO, M,L,R de; MACHADO, A,F,V","[('algoritmos', 'estudo e implementac&#807;a&#771;o de heuri&#769;sticas para otimizar os algoritmos aplicados a puzzle games')]"
3,1306681534855748,Estudo e implementac&#807;a&#771;o de heuri&#769;sticas para otimizar os algoritmos aplicados a puzzle games,"MACHADO, A,F,V; CLUA, E. W. G.; BONIN, C. R. B.; NOVAES, G,M; ALMEIDA FILHO, M,L,R de","[('algoritmos', 'estudo e implementac&#807;a&#771;o de heuri&#769;sticas para otimizar os algoritmos aplicados a puzzle games')]"
4,4099917464800478,Algoritmos em terapia intensiva: Neonatologia e emergências pediátricas,"DINIZ, Edna Maria de Albuquerque","[('algoritmos', 'algoritmos em terapia intensiva: neonatologia e emergências pediátricas')]"
5,4099917464800478,"Algoritmos em Terapia Intensiva Pediátrica, Neonatologia e Emergências Pediátricas","Diniz, Edna M A; VAZ, Flavio Adolfo Costa","[('algoritmos', 'algoritmos em terapia intensiva pediátrica, neonatologia e emergências pediátricas')]"
6,4099917464800478,"Algoritmos em Terapia Intensiva Pediátrica, Neonatologia e Emergências Pediátricas","Diniz, Edna M A; VAZ, Flavio Adolfo Costa","[('algoritmos', 'algoritmos em terapia intensiva pediátrica, neonatologia e emergências pediátricas')]"
7,6272980451148858,"Algoritmos em terapia intensiva pediátrica, neonatologia e emergências pediátricas","GUINSBURG, R.; BALDA, R. C. X.","[('algoritmos', 'algoritmos em terapia intensiva pediátrica, neonatologia e emergências pediátricas')]"
8,9380119606091438,"Algoritmos em Terapia Intensiva Pediátrica, Neonatologia e Emergências Pediátricas","Deutsch AD; CALIL, V. M. L. T.","[('algoritmos', 'algoritmos em terapia intensiva pediátrica, neonatologia e emergências pediátricas')]"
9,9380119606091438,"Algoritmos em Terapia Intensiva Pediátrica, Neonatologia e Emergências Pediátricas","DEUTSCH, A. D.; CALIL, V. M. L. T.","[('algoritmos', 'algoritmos em terapia intensiva pediátrica, neonatologia e emergências pediátricas')]"
10,9858189664859918,"Comunidades, Algoritmos e Ativismos Digitais: olhares afrodiaspóricos","CARRERA, F. A. S.","[('algoritmos', 'comunidades, algoritmos e ativismos digitais: olhares afrodiaspóricos')]"
11,245137809255179,"Algoritmos em terapia intensiva pediátrica, neonatologia e emergências pediátricas","SCHVARTSMAN, Benita Galassi Soares; Cardoso MP; Zorub T","[('algoritmos', 'algoritmos em terapia intensiva pediátrica, neonatologia e emergências pediátricas')]"
12,245137809255179,"Algoritmos em terapia intensiva pediátrica, neonatologia e emergências pediátricas","SCHVARTSMAN, Benita Galassi Soares; Issa LJ","[('algoritmos', 'algoritmos em terapia intensiva pediátrica, neonatologia e emergências pediátricas')]"
13,245137809255179,"Algoritmos em terapia intensiva pediátrica, neonatologia e emergências pediátricas","SCHVARTSMAN, Benita Galassi Soares; Issa LJ","[('algoritmos', 'algoritmos em terapia intensiva pediátrica, neonatologia e emergências pediátricas')]"
