ID-Lattes	Título	Ano	Tipo	Título-do-livro	P-inicial	P-final	ISBN	Editora	Palavras-chave	
1733943530061609	Full-Reference SSIM Metric for Video Quality Assessment with Saliency-Based Features	2015	Capítulo de livro publicado	Lecture Notes in Computer Science	547	554	9783319232218	Springer International Publishing	[]
1733943530061609	Métodos Objetivos para Avaliação de Qualidade de Vídeo Digital	2013	Capítulo de livro publicado	Novas Técnicas e Ferramentas Aplicadas ao Sistema Brasileiro de TV Digital	119	146	9788564619142	Omnipax Editora	['Avaliaçao de Qualidade de Video Digital', 'Métrica Referência Reduzida', 'Métrica sem Referência']
2193972715230641	Software Livre e Propriedade Intelectual: Aspectos Jurídicos, Licenças e Modelos de Negócios (V1)	2011	Capítulo de livro publicado	Atualizações em Informática 2011	59	107	9788580060	Editora PUC-Rio	[]
2193972715230641	Software Livre e Propriedade Intelectual: Aspectos Jurídicos, Licenças e Modelos de Negócios (V2)	2012	Capítulo de livro publicado	XXXI JORNADAS DE ATUALIZAÇÃO EM INFORMÁTICA (JAI)	350	400	9788580060		[]
2193972715230641	FLOSS Project Management in Government-Academia Collaboration	2018	Capítulo de livro publicado	IFIP Advances in Information and Communication Technology	15	25	9783319923741	Springer International Publishing	[]
2193972715230641	Ranking Source Code Static Analysis Warnings for Continuous Monitoring of FLOSS Repositories	2018	Capítulo de livro publicado	IFIP Advances in Information and Communication Technology	90	101	9783319923741	Springer International Publishing	[]
2193972715230641	A Students Perspective of Native and Cross-Platform Approaches for Mobile Application Development	2019	Capítulo de livro publicado	Lecture Notes in Computer Science	586	601	9783030243074	Springer International Publishing	[]
2193972715230641	Fifteen Years of Open Source Software Evolution	2019	Capítulo de livro publicado	IFIP Advances in Information and Communication Technology	61	67	9783030208820	Springer International Publishing	[]
2193972715230641	Using PageRank to Reveal Relevant Issues to Support Decision-Making on Open Source Projects	2018	Capítulo de livro publicado	IFIP Advances in Information and Communication Technology	102	113	9783319923741	Springer International Publishing	[]
5834088144837137	Classification of Transposable Elements by Convolutional Neural Networks	2019	Capítulo de livro publicado	Lecture Notes in Computer Science	157	168	9783030209148	Springer International Publishing	[]
5834088144837137	Noncoding RNAs Databases: Current Status and Trends	2019	Capítulo de livro publicado	Methods in Molecular Biology	251	285	9781493989812	Springer New York	[]
