ID-Lattes	Instituição	Tipo-Vínculo	Enquadramento	Mês-Inicio	Ano-Inicio	Mês-Fim	Ano-Fim	Outras-Informações	Outro-Vínculo	Outro-Enquadramento-Funcional
1316989924322885	Universidade de São Paulo	SERVIDOR_PUBLICO	LIVRE	04	1987		1992			Professora Associada
1316989924322885	Universidade de São Paulo	SERVIDOR_PUBLICO	PROFESSOR_TITULAR	03	1992	06	2011			
1316989924322885	Universidade de São Paulo	LIVRE	LIVRE	03	1976	06	1981		Servidor público ou celetista	Professora Assistente
1316989924322885	Universidade de São Paulo	LIVRE	LIVRE	06	1981	04	1987		Servidor público ou celetista	Assistente Doutor
1316989924322885	Universidade de São Paulo	SERVIDOR_PUBLICO	LIVRE	06	2011			Aposentei-me em junho de 2011 e a partir daí estou como professora voluntária.		professora voluntária
1805029396938951	Secretaria Municipal de Saúde e Serviço Social de Porto Alegre	LIVRE	LIVRE	1	1989	12	1990		Servidor público ou celetista	Cargo em Comissão
1805029396938951	Universidade Federal do Rio Grande do Sul	SERVIDOR_PUBLICO	PROFESSOR_TITULAR	7	1997					
1911899537342394	Universidade de Brasília	SERVIDOR_PUBLICO	LIVRE	12	1996	11	2010			Professor Adjunto (dedicação exclusiva)
1911899537342394	Universidade de Brasília	SERVIDOR_PUBLICO	LIVRE	12	2011	03	2014	Linha de Pesquisa: Segurança Internaiconal e Democracia - os objetivos referem-se a temas relativos às mudanças significativas que ocorreram na concepção de segurança no período do pós-guerra fria tanto ao nível internacional como regional e doméstico, além do estudo dos processos de democratização da Terceira Onda de demopcracia.		professora associada
1911899537342394	Universidade de Brasília	LIVRE	LIVRE	03	2014			Aposentada em março de 2014, como professora associada IV do Instituto de Relações Internacionais, Universidade de Brasília. Passa a exercer as mesmas funções (pesquisa, ensino, orientação) na qualidade de pesquisadora colaboradora senior vinculada à mesma instituição	Pesquisadora Colaborad. Senior	Pesquisadora Colaboradora Senior
1911899537342394	UnB e Instituto de Estudos Ibero-Americanos de Hamburgo	LIVRE	LIVRE		2003		2005		Outro (funcionária pública)	professora adjunta
1911899537342394	Instituo de Relações Internacionais, UnB	SERVIDOR_PUBLICO	LIVRE	12	2011			Dez. 1989 a dez de 1996 - tempo parcial Dez de 1996 até hoje- DE  Transferiu-se do Dep. de Ciência Política para o Dep.de Relações Internacionais em dez. de 1996		professora associada
1911899537342394	Instituo de Relações Internacionais, UnB	LIVRE	LIVRE	12	1989	12	2011			professora adjunta
