ID-Lattes	Tipo-Formação	Ano-Inicio	Ano-Conclusão	Instituição	Curso	Bolsa	Agência-da-bolsa	ID-Orientador
1316989924322885	E	2002	2002	Universidade de São Paulo	E Learning Educando Em Ambientes Virtuais	NAO		
1316989924322885	G	1965	1968	Pontifícia Universidade Católica de São Paulo	Ciências Sociais	NAO		
1316989924322885	M	1969	1971	Universidade de São Paulo	Sociologia	NAO		
1316989924322885	D	1974	1981	Universidade de São Paulo	Sociologia	NAO		
1805029396938951	G	1976	1979	Universidade Federal do Rio Grande do Sul	História	NAO		
1805029396938951	M	1980	1985	Universidade Federal do Rio Grande do Sul	Sociologia	NAO		
1805029396938951	D	1991	1995	London School Of Economics And Political Science	Social Policy And Administration	SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	
1911899537342394	G	1962	1965	Universidade de Brasília	Fisica	NAO		
1911899537342394	G	1967	1970	Pontifícia Universidade Católica do Rio de Janeiro	Ciencia Politica	NAO		
1911899537342394	M	1974	1975	JF Kennedy School of Government, Harvard University	Administração Pública	SIM	Fundação Ford	
1911899537342394	D	1975	1978	Massachusetts Institute Of Technology	Ciencia Politica	SIM	Fundação Ford	
1911899537342394	P	1997	1998	Center of Latin American Studies, Un. Califórnia, Berkeley		SIM	CAPES e FULBRIGHT	
1920255833804512	G	1998	2003	Pontifícia Universidade Católica do Rio de Janeiro	Direito	SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	
1920255833804512	M	2004	2006	Instituto Universitário de Pesquisas do Rio de Janeiro	Ciência Política (Ciência Política e Sociologia)	SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	4161307140465507
1920255833804512	D	2009	2014	Universidade de São Paulo	Relações Internacionais	SIM	Fundação de Amparo à Pesquisa do Estado de São Paulo	3708102324198107
1920255833804512	P	2015	2017	Instituto de Relações Internacionais (IRI)/ Universidade de São Paulo (USP)		SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	
2142163449017349	G	1964	1969	The University of Melbourne	Bachelor Of Architecture with Honours	NAO		
2142163449017349	M	1969	1970	University Of California Berkeley	Arquitetura	NAO		
2142163449017349	D	1975	1980	University Of California Berkeley	Arquitetura	NAO		
2142163449017349	P	2009	2009	University of Newcastle on Tyne		SIM	Fundação de Amparo à Pesquisa do Estado de São Paulo	
2542913266521798	E	1999	1999	Organizzazione Internazionale del Lavoro	Normalização Formação Certificação de Competência	NAO		
2542913266521798	E	2000	2000	Organizzazione Internazionale del Lavoro	Ingeneria de la Formación	NAO		
2542913266521798	G	1982	1985	Pontifícia Universidade Católica de Minas Gerais	Ciências Econômicas	NAO		
2542913266521798	M	1987	1989	Universidade Federal de Minas Gerais	Administração	SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	3003733899113459
2542913266521798	D	1991	1995	Universidade de São Paulo	Administração	SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	1333367471395533
2542913266521798	P	2005	2006	Instituto Superior de Economia e Gestão da Universidade Técnica de Lisboa		NAO		
3386402716993689	G	1971	1975	Universidade Federal Fluminense	Ciências Sociais	NAO		
3386402716993689	M	1976	1978	Instituto Universitário de Pesquisas do Rio de Janeiro	Ciência Política (Ciência Política e Sociologia)	SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	
3386402716993689	D	1985	1989	Instituto Universitário de Pesquisas do Rio de Janeiro	Ciência Política (Ciência Política e Sociologia)	SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	
3386402716993689	P	1994	1995	University of Florida		SIM	Fundação Fulbright	
3386402716993689	P	2016	2016	King's College of London		NAO		
3386402716993689	P	2016	2016	Universidade de Lisboa		NAO		
3500104366301286	G	1978	1982	Universidade Federal do Rio de Janeiro	Engenharia de Produção	SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	
3500104366301286	M	1984	1987	Pontifícia Universidade Católica do Rio de Janeiro	Economia	SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	0818273339577951
3500104366301286	M	1987	1990	Stanford University	Economia	NAO		
3500104366301286	D	1987	1991	Stanford University	Economia	SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	
3500104366301286	P	2002	2003	Stanford University		SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	
3500104366301286	P	2013	2013	Massachusetts Institute of Technology		SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico	
3539564256173485	G	1981	1985	Fundação Educacional Serra dos Órgãos	Administração de Empresas	NAO		
3539564256173485	M	1993	1995	Fundação Getúlio Vargas	Administração	SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	
3539564256173485	D	1999	2003	Aston University	Administração Pública	SIM	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	
