ID-Lattes	Título	Ano	Tipo	Título-do-livro	P-inicial	P-final	ISBN	Editora	Palavras-chave	
1316989924322885	A experiência internacional	1989	Capítulo de livro publicado	Projetos de irrigação: O custo da transformação social	0139	0157		IPE	['Irrigacao']
1316989924322885	Mudancas na estrutura do emprego rural: O trabalho volante	1988	Capítulo de livro publicado	Brasil 1980: Os desafios da crise econômica	0273	0303		IPE	['Trabalho Volante']
1316989924322885	Participação estrangeira no mercado de trabalho	1986	Capítulo de livro publicado	Mercado de trabalho no Brasil	0091	0107		IPE	['mercado de trabalho', 'Estrutura ocupacional']
1316989924322885	La preistória de la economia: de Machiavel a Adam Smith	1999	Capítulo de livro publicado	Epistemologia de la economia	15	29		Dirección de Publicaciones	['história do pensamento econômico', 'Economia Como Ciencia']
1316989924322885	Do encontro de Itaipava ao encontro da USP: comentários à margem da história da ANPEC	1997	Capítulo de livro publicado	Cinqüenta anos de ciência econômica no Brasil	215	330		Vozes	['Metodologia Economica', 'Economistas']
1316989924322885	Prebisch, a CEPAL e seu discurso: um exercício de análise retórica	1997	Capítulo de livro publicado	Retórica na economia	163	179		Editora 34	['Cepal', 'retórica']
1316989924322885	Apontamentos sobre teorização e observação empírica na economia	1996	Capítulo de livro publicado	Delineamentos da pesquisa na nutrição humana aplicada	9	23		IPE	['Economia Como Ciencia', 'Metodologia Cientifica']
1316989924322885	Análise comparativa	1989	Capítulo de livro publicado	Projetos de irrigação: O custo da transformação social				Ministério da Irrigação	[]
1316989924322885	A economia como ciência empírica: uma breve introdução	2002	Capítulo de livro publicado	Técnicas de pesquisa em economia				Saraiva	['Metodologia Economica', 'Metodologia Cientifica']
1316989924322885	Para auditórios diferentes, diferentes argumentos: Retórica econômica nos primórdios da Escola Latino-Americana	2003	Capítulo de livro publicado	A história do pensamento econômico como teoria e retórica	231	250	8573262672	Editora 34	['retórica', 'Prebisch', 'Cepal', 'auditório']
1316989924322885	Would a Latin American economics make sense?	2004	Capítulo de livro publicado	A Guide to What´s Wrong with Economics	299	309		Anthem Press	['ECLA school', 'Latin America', 'Prebisch', 'industrialization']
1316989924322885	The Planned Development of Latin America: A Rhetorical Analysis of Three Documents from the 1950s	2005	Capítulo de livro publicado	Reimagining growth. Towards a renewal of development theory	27	51	Hb 1 84277	Zed Books	['Latin America', 'economic development', 'Cepal', 'Prebisch', 'Planning']
1316989924322885	Concern with Political Relevance in the Latin American School of Economics	2007	Capítulo de livro publicado	Real World Economics: A Post-Autistic Economic Reader	267	272	9781843312	Anthem Press	['América Latina', 'Desenvolvimento Econômico', 'Cepal', 'Prebisch', 'Hirschman']
1316989924322885	Economic Rhetoric	2008	Capítulo de livro publicado	International Encyclopedia of the Social Sciences	495	496		MacMillan Reference USA	[]
1316989924322885	Todos os gatos são pardos: O teste empírico na história da Economia	2008	Capítulo de livro publicado	Kronos Revista de História da Ciência	117	130	8532619196	Humanitas	[]
1316989924322885	O método na economia: desenvolvimentos recentes, questões e reflexões	2011	Capítulo de livro publicado	O Brasil e a ciência econômica em debate	123	136	9788502135116	Saraiva	['Economia Como Ciencia', 'Economia neoclássica', 'Economic Methodology']
1316989924322885	A propósito de Antonio Maria: Tendências recentes da metodologia econômica	2012	Capítulo de livro publicado	Economia e filosofia - controvérsias e tendências recentes			9788571083	Editoria da UFRJ	['economia comportamental', 'Economia experimental', 'Metodologia da economia']
1316989924322885	A ética na economia comportamental: uma breve incursão	2015	Capítulo de livro publicado	Guia de economia comportamental e experimental	1	398	9788556290007	EconomiaComportamental.or	['Metapreferências', 'economia comportamental', 'Economia experimental']
1316989924322885	Albert O. Hirschman and the structuralist-monetarist debate in Latin America	2016	Capítulo de livro publicado	2016000034b014	101	122	9781785609626	Research in the History of Economic Thought and Methodology	[]
1316989924322885	Hicks e a revolução invisível: notas sobre a contribuição metodológica de J. R. Hicks	1991	Capítulo de livro publicado	Revisão da crise: metodologia e retórica na história do pensamento econômico	43	64		Editora Bienal	['Consenso Keynesiano', 'história do pensamento econômico']
1805029396938951	Perfil dos delegados da 2ª Conferência Estadual de Saúde do Rio Grande do Sul	1996	Capítulo de livro publicado	Relatório da 2ª 2ª Conferência Estadual de Saúde do Estado do Rio Grande do Sul	45	52		Secretaria da Saúde e do Meio Ambiente - RS	['Participação']
1805029396938951	Participação dos usuários nos fóruns locais e municipais de saúde: porque e para que	1996	Capítulo de livro publicado	Caderno de Textos da 2ª Conferência Municipal de Saúde de Porto Alegre	10	14		Secretaria Municipal de Saúde	['Participação', 'Conselhos de Saúde', 'Conselhos de Políticas Públicas']
1805029396938951	Balanço de experiências de controle social, para além dos conselhos e conferências no Sistema Único de Saúde brasileiro: construindo a possibilidade da participação dos usuários	2000	Capítulo de livro publicado	Caderno de Textos da 11ª Conferência Nacional de Saúde	23	42		Ministério da Saúde	['Participação', 'Conselhos de Saúde', 'Conferências de Saúde', 'Conselhos de Políticas Públicas']
1805029396938951	Como fazer análise qualitativa de dados	2002	Capítulo de livro publicado	Técnicas de Pesquisa em Economia	234	270	8502034944	Saraiva	['Metodologia de Pesquisa Social']
1805029396938951	Participação de usuários nos conselhos municipais de saúde e de assistência social de Porto Alegre	2002	Capítulo de livro publicado	Democracia Teoria e Prática	167	209	8573163062	Relume Dumará	['Conselhos de Políticas Públicas', 'Participação', 'Conselhos de Assistência Social', 'Conselhos de Saúde']
1805029396938951	Definindo prioridades para a gestão pública: metodologia de pesquisa avaliativa de desigualdades em saúde no Rio Grande do Sul	2002	Capítulo de livro publicado	Tempo de Inovações: a experiência da gestão em saúde no Rio Grande do Sul	123	132	8586072451	Da Casa	['Desigualdade em Saude', 'Desigualdade Social']
1805029396938951	Arcabouço institucional e participação em conselhos municipais de saúde e assistência social	2004	Capítulo de livro publicado	Entre a coesão e a fragmentação, a cooperação e o conflito	1	15	8576430010	Ed Fundação Perseu Abramo	['Conselhos de Políticas Públicas', 'Conselhos de Assistência Social', 'Participação', 'Conselhos de Saúde']
1805029396938951	Construindo a possibilidade da participação dos usuários: conselhos e conferências no Sistema Único de Saúde	2004	Capítulo de livro publicado	VER-SUS/Brasil	238	261		Ministério da Saúde	['Participação', 'Conferências de Saúde', 'Conselhos de Políticas Públicas', 'Conselhos de Saúde']
1805029396938951	Fóruns participativos e governança: uma sistematização das contribuições da literatura	2005	Capítulo de livro publicado	Desenho Institucional e Participação Política: experiência no Brasil contemporâneo	13	32	8532632076	Vozes	['Participação', 'Conselhos de Políticas Públicas', 'Orçamento Participativo']
