ID-Lattes	Título	Ano	DOI	Veículo	ISBN	Volume	Fascículo	Serie	P-inicial	P-final	Palavras-chave	
1316989924322885	Some clues for understanding Brazil And Brazilians	1988		Seminário "Brazil Changes"							[]
1316989924322885	Sintomas de crise na ciência econômica	1988		Seminários Semanais da EPGE - Fundação Getúlio Vargas							[]
1316989924322885	Hicks e a revolução invisível: Notas sobre a contribuição metodológica de J.R. Hicks	1989		Encontro Nacional de Economia					0	0	['Crise da Economia', 'história do pensamento econômico', 'Metodologia Economica']
1316989924322885	A metodologia positivista na ciência econômica: Uma visão inquieta	1987		Encontro Nacional de Economia							[]
1316989924322885	Pluralismo metodológico: considerações sobre a proposta de Caldwell	1989		Curso sobre Filosofia da Ciência, Metodologia e Economia							[]
1316989924322885	O empírico como critério de demarcação científica	1987		Painel "Aspectos Metodológicos em Pesquisa Econômica"							[]
1316989924322885	A prática da reforma agrária: Algumas reflexões	1986		Ciclo de Debates "Alceu Amoroso Lima"							[]
1316989924322885	Seminários de tese -1985- considerações gerais	1985		Seminários de Tese do IPE							[]
1316989924322885	Maquiavel, Hobbes e outros precursores da economia política	1986		Seminários Semanais do IPE					0	0	[]
1316989924322885	Notas sobre a questão da interdisciplinaridade na Fea	1986		Debate sobre Interdisciplinaridade na FEA							[]
1316989924322885	Economia e ética: reflexões a propósito de uma pesquisa empírica	1998		A nova economia das instituições		1	1				['Metodologia Economica']
1316989924322885	Comentários críticos sobre o processo de matematização da economia	1996		Encontro Nacional da SEP		1					['história do pensamento econômico', 'Metodologia da economia']
1316989924322885	Paradigma ou cânon? Duas maneiras de refletir sobre a história do pensamento econômico	1997		Encontro Nacional de Economia							['Economia Como Ciencia', 'história do pensamento econômico', 'Metodologia da economia']
1316989924322885	Different audiences, different arguments: economic discourse in the beginnings of the Latin American School	1999		Encontro Nacional de Economia e Encontro da History of Economics Society							['Cepal', 'retórica']
1316989924322885	Argumentos diferentes para auditórios diferentes: Prebisch e o início da CEPAL	1999		Seminários da Fundação Getúlio Vargas de São Paulo							['Cepal']
1316989924322885	Duas maneiras de contar a história do pensamento econômico	1998		História do Pensamento Econômico		1					[]
1316989924322885	A further enquiry about the pre-history of economics	1994		6th Annual Conference of the Society for the Advancement of Socio-Economics							['história do pensamento econômico']
1316989924322885	Of clouds, clocks and the hardest of the soft sciences	1993		Encontro da Allied Social Scientists Association							['Economia Como Ciencia', 'Metodologia Economica', 'Metodologia Cientifica']
1316989924322885	Rationality among economists and others	1996		Conference of the Society for the Advancement of Socio-Economics							['Metodologia Cientifica', 'Positivismo', 'racionalidade']
1316989924322885	Estúdio económico y la retórica de los hechos sobre América Latina	1998		Jornadas Epistemológicas de las Ciencias Económicas							['Cepal', 'história do pensamento econômico', 'retórica']
1316989924322885	Ética e burocracia pública	1998		Ética, Negócios e Economia na América Latina							['Capital Humano']
1316989924322885	O liberalismo clássico: Guizot, Tocqueville, Stuart Mill	1996		A mão invisível do mercado							[]
1316989924322885	Paradigm, canon and different ways of telling the history of economic thought	2000		27th Annual Meeting of the History of Economics Society							['Adam Smith', 'paradigma', 'Metodologia da economia']
1316989924322885	Planos, meta-preferencias y escuela: una primera aproximación	2000		Jornadas de Epistemologia de las Ciencias Economicas							['Ação Planejada', 'Escolha', 'Metapreferências']
1316989924322885	Economistas de avental branco: Uma defesa do método experimental na economia	2001		IV Encontro da Sociedade de Economia Política							['Economia Como Ciencia', 'Economia experimental']
1316989924322885	What drives Ulysses back to Ithaca: preliminary notes on the logic of choice	2001		28th Annual Meeting of the History of Economics Society							['Economia Como Ciencia']
1316989924322885	A volta de Ulisses: Notas críticas sobre a teoria da escolha racional	2001		Encontro Nacional de Economia							['Ação Planejada', 'Escolha', 'Metapreferências']
1316989924322885	Memórias póstumas de uma economia viva	1999		Série de seminários organizados pela Sociedade dos Economistas Mortos							[]
1316989924322885	Critérios para a avaliação dos programas de pós-graduação em economia	2000		Cadernos do Programa de Pós-Graduação em Economia da Universidade Estadual de Maringá, PR							[]
1316989924322885	O estado das artes da pós-graduação em economia no Brasil	2000		A Economia Mineira							[]
1316989924322885	Algumas evidências sobre as ocupações no mercado de trabalho	1998		III Encontro Nacional de Economia Política		II			855	872	[]
1316989924322885	Reflexões sobre a ciência econômica e sua crise de identidade	1983		Encontro Nacional de Economia		I			77	90	[]
1316989924322885	Prebisch, a Cepal e seu discurso: um exercício de análise retórica	1995		Encontro Nacional de Economia		I			78	97	[]
1316989924322885	Paradigm and canon as different ways of reconstructing the history of economic thought	2002		INEM International Conference							[]
1316989924322885	Os conceitos de paradigma e cânon como instrumentos de pesquisa sobre a história do pensamento econômico: Variações sobre um mesmo tema	2003		IV Simpósio SIAME							['Cânon', 'paradigma', 'história do pensamento econômico', 'canonização']
1316989924322885	For different audiences, different arguments: Economic Rhetoric at the Beginning of the Latin American Economic School	2001		Seminário Internacional Brasil no Século XXI, Universidade Federal do Rio de Janeiro							['retórica', 'Prebisch', 'Cepal']
1316989924322885	Albert Hirschman in Latin America: Notes on Hirschman´s trilogy on economic development	2004		XXXIII Encontro Nacional de Economia							['Hirschman', 'América Latina', 'desenvolvimento econômico']
1316989924322885	Albert Hirschman na América Latina: anotações sobre a trilogia de Hirschman	2004		Seminários do IPE							['Hirschman', 'América Latina', 'desenvolvimento econômico']
1316989924322885	A volta de Ulisses: Anotações sobre a lógica de planos e compromissos	2004		Seminários Economia e Sociedade - IPE-USP							['Planos', 'ação racional', 'Compromissos', 'Metapreferências', 'racionalidade']
1316989924322885	Além do cânon: Mão Invisível, Ordem Natural e Instituições	2005		X Encontro Nacional de Economia Política							['Adam Smith', 'Mão invisível', 'Cânon', 'Conseqüências imprevistas']
1316989924322885	Hirschman and the visiting-economist Syndrome	2006		33rd Annual Meeting of the History of Economics Society							['Hirschman', 'visiting economists', 'development economics', 'foreign advisors', 'possibilism', 'Latin America']
1316989924322885	Albert Hirschman na América Latina: anotações sobre a trilogia de Hirschman (revisto)	2004		XXXII Encontro Nacional de Economia ANPEC							[]
1316989924322885	Hirschman and the Visiting-Economist Syndrome	2007		XII Encontro Nacional de Economia Política							['Hirschman', 'visiting-economists', 'Desenvolvimento Econômico']
1316989924322885	Visiting-Economists through Hirschman´s Lenses	2007		V Encuentro Ibérico de Historia del Pensamiento Económico							['América Latina', 'development economics', 'história do pensamento econômico', 'Hirschman']
1316989924322885	Visiting-Economists through Hirschman´s Lenses (nova versão)	2008		2008 Annual Conference of the History of Economics Society (HES)							['Hirschman', 'development economics', 'money doctors']
1316989924322885	Nasce uma ciência: uma investigação sobre a emancipação da Economia em relação à Política	2009		XIV Encontro Nacional de Economia Política							['Adam Smith', 'Economia Como Ciencia', 'história do pensamento econômico', 'John Locke']
1316989924322885	O atribulado percurso de um relatório de pesquisa: Albert Hirschman e seu Development Projects Observed	2009		VI Encontro da Associação Ibérica de História do Pensamento Econômico							['Hirschman', 'desenvolvimento econômico', 'história do pensamento econômico']
1316989924322885	Albert Hirschman and his controversial research report	2011		2011 History of Economics Society Conference							['desenvolvimento econômico', 'Hirschman', 'development economics', 'visiting-economists']
1805029396938951	Desigualdades em Saúde e promoção da equidade	1999		IX Congresso Brasileiro de Sociologia: A Sociologia para o Século XXI							['Desigualdade em Saude']
1805029396938951	Pautas de reuniões e participação de usuários em Conselho Municipal de Saúde	2000		VI Congresso Brasileiro de Saúde Coletiva	14138123	5			324	329	['Conselhos de Saúde', 'Participação', 'Conselhos de Políticas Públicas']
1805029396938951	Conselhos e Conferências no Sistema Único de Saúde brasileiro: construindo a possibilidade da participação dos usuários	2000		11ª Conferência Nacional de Saúde		1			26	42	['Conferências de Saúde', 'Conselhos de Saúde', 'Participação', 'Conselhos de Políticas Públicas', 'Politica de Saude Brasil']
1805029396938951	Participação em conselhos municipais de políticas públicas: arcabouço institucional, organização do movimento popular e policy communities	2002		XXVII Encontro Anual da ANPOCS		1			1	20	['Conselhos de Políticas Públicas', 'Participação']
1805029396938951	Especificidade dos conselhos municipais de saúde em relação aos demais fóruns participativos brasileiros	2003		VII Congresso Brasileiro de Saúde Coletiva					1	11	['Conselhos de Políticas Públicas', 'Conselhos de Saúde', 'Participação']
1805029396938951	A esfera estadual da administração pública como protagonista da descentralização: o caso do Rio Grande do Sul - 1991 a 2001	2003		27º Encontro Anual da ANPOCS					1	20	['Participação', 'Orçamento Participativo', 'Orçamento Participativo Estadual', 'Consulta Popular', 'Descentralizacao']
1805029396938951	Participação e Governança: o impacto de processos participativos sobre a gestão e implementação de políticas públicas	2004		XXVIII Encontro Anual da Anpocs							['Participação', 'Conselhos de Políticas Públicas', 'Governança', 'Orçamento Participativo', 'Orçamento Participativo Estadual']
1805029396938951	Controle social: representatividade, composição de interesses e eficácia	2004		Gestão em Seminário Nacional: saúde da mulher							['Participação', 'Conselhos de Saúde', 'Conselhos de Políticas Públicas']
1805029396938951	Céticos e Esperanços: a posição da literatura sobre fóruns participatórios na área da saúde	2005		Saúde e Cidadania: 1º Simpósio Internacional da Conferência Luso-Francófona de Saúde					1	21	['Participação', 'Conselhos de Políticas Públicas', 'Conselhos de Saúde']
1805029396938951	What is the real nature of the Brazilian participative fora	2006		XVI ISA World Congress of Sociology: the quality of social existence in a globalising world					1	17	['Participação', 'Conselhos de Políticas Públicas', 'Orçamento Participativo']
1805029396938951	Brazilian state governments and horizontal coordination	2006		State politics and institutions in comparative perspective: lessons from Brazil					10	44	['Coordenação Horizontal']
1805029396938951	Conselhos municipais no contexto das políticas públicas setoriais: um estudo comparativo na Região Metropolitana de Porto Alegre	2007		XXXI Encontro da ANPOCS							['Conselhos de Políticas Públicas', 'Participação', 'Política Sociais']
1805029396938951	What is the real nature of the Brazilian participative fora?	2009		Beyond Good Governance Conference - Brown University							['Participação', 'Orçamento Participativo Estadual', 'Conselhos de Políticas Públicas']
1805029396938951	Brazilian public health system: New political arenas and shifts in actors' positions	2009		LASA - Rethinking Inequalities. XXVIII International Congress of the Latin American Studies							['Politica de Saude Brasil', 'Comunidade Política']
1805029396938951	A dinâmica das relações sociais no Conselho Nacional de Saúde	2009		XVI Congresso Brasileiro de Sociologia							['Conselho Nacional de Saúde', 'Conselhos de Políticas Públicas', 'Participação', 'Politica de Saude Brasil']
1805029396938951	Political and socioeconomic inequalities in Brazil	2010		XVII ISA World Congress of Sociology Sociology on the Move		1			1	623	['Participação', 'Desigualdade Social', 'Desigualdade Política']
1805029396938951	The participatory national arenas in Brazilian Health System and the shifts in actor's positions	2010		XVII ISA World Congress of Sociology Sociology on the Move		1			1	623	['Participação', 'Política de Saúde', 'Politica de Saude Brasil', 'Arenas Políticas']
1805029396938951	Fundamentos da confiança: associativismo, instituições político-administrativas e capital social na Região Metropolitana de Porto Alegre	2009		33º Encontro Anual da ANPOCS							['Capital Social', 'Confiança', 'Sociedade civil', 'Instituições']
1805029396938951	Engajamento cívico, desigualdades sociais e percepções sobre a qualidade dos serviços públicos nas regiões	2010		34º Encontro Anual da Anpocs							['Desigualdade Política', 'Desigualdade Social']
1805029396938951	Youth Policies in Brics Countries: Towards the Construction of a Typology	2018		XIX ISA World Congress of Sociology		1	1		1		['Políticas Sociais BRICS', 'BRICS', 'Juventude']
1911899537342394	Adapting to Democracy: The military in the process of decision-making in post-transition Brazil	2003		International Political Science Association		1			230	230	['Democratizaçao', 'Relaçoes Civis-Militares', 'processo decisório', 'Brasil', 'Controle Civil sobre Militares', 'Modelo de adaptaçao dos militares']
1911899537342394	The Congress and the Military in Post-Democratic Transition Brazil	2004		XXV Encontro da Latin American Studies Association							['Controle Civil sobre Militares', 'Congresso']
1911899537342394	The New Role of the Armed Forces in Latin-America in the Post-Cold War: the Case of Brazil	2002		43rd Annual Convention of the International Studies Association - ISA							['Novo Papel dos Militares']
1911899537342394	O Novo Papel das Forças Armadas na América Latina: o Caso do Brasil	2002		Annual Meetiong of the Research and Education in Defense and Security Studies - REDES							['Modelo de adaptaçao dos militares', 'Novo Papel dos Militares']
1911899537342394	Adapting to Democratic Politics: the Military in Post-Transition Brazil	2000		V International Congress of the Brazilian Studies Association - BRASA							['democratização', 'rekações civis-militares', 'processo de decisão']
1911899537342394	Adapting to Democratic Politics: the Military in Congress in Post-Transition Brazil	2001		XXIII International Congress of the Latin American Studies Association - LASA							['democratization', 'relações civis-militares', 'Congress']
1911899537342394	Civil-Military Relations in Congress in Democratizing Brazil	2006		20th International Political Science Association World Congress		1	1	1	135	135	[]
1911899537342394	Segurança Regional e a Política de Defesa do Brasil	2006		5º Encontro Nacional da Associação Brasileira de Ciência Política - ABCP		1	1				[]
1911899537342394	Exporting Democracy: the hegemon concern with peace or security?	2007		Sixth Pan European International Relations Conference							[]
1911899537342394	Exporting Democracy: Kantian Peace or Western Hegemony Expression?	2008		49th International Studies Association Annual Convention							[]
1911899537342394	The Exporting of Democracy in American Foreign Policy Doctrine: The Post-Cold War Period and the Use of Force	2009		ABRI-ISA Joint International Meeting 2009							['exportação de democracia', 'uso da força', 'Política Externa - Estados Unidos']
1911899537342394	A Importância da Política Comparada em Relações Internacionais: uma Experiência Integrada em Ensino e Pesquisa	2010		7º Encontro Nacional da Associação Brasileira de Ciência Política							['política comparada', 'relações internacionais']
1911899537342394	Transition Types and the Quality of Democracy:A Comparative Analysis of Brazill, Argentina and Chile	2011		ECPR-IPSA Joint Conference, WHATEVER HAPPENED TO NORTH-SOUTH?							[]
1911899537342394	Democracia e Segurança na Política Externa Americana no pós-Guerra Fria.	2011		3º Encontro Nacional da ABRI - Governança Global e Novos Atores,  2011,							[]
1911899537342394	Exporting Democracy as Foreign Policy: Peace, Security and the American Military Interventions in the post-Cold War World.	2011		WISC (World International Studies Committee) - Third Global International Studies Conference - World Crisis: Revolution or Evolution in the International Community?, 2011,							[]
1911899537342394	The Essential Role of Democracy in the Bush Doctrine	2012		International Studies Association, 53rd Annual Convention in San Diego, Power, Principles and Participation in the Global Information Age							[]
1911899537342394	Transition Types and the Quality of Democracy: a Comparative Analysis of the American Southern Cone Countries	2012		XXVII WORLD CONGRESS OF POLITICAL SCIENCE ? IPSA							[]
1911899537342394	Intervention and Regime Change in Bush's and Obama's Foreign Policies: Afghanistan, Iraq and Lybia	2013		54th International Studies Association Annual Meeting							[]
1911899537342394	Intervenção e Mudança de Regime nas Políticas Externas e de Defesa de Bush e Obama: Afeganistão, Iraque e Líbia	2013		IV Encontro Nacional da Associação Brasileira de Relações Internacionais (ABRI)							[]
1911899537342394	Democracy and Security in Obama's Foreign Policy: Leading from Behind	2015		ISA 56th Annual Convention							['exportação de democracia', 'política externa americana', 'Segurança', 'Obama']
1911899537342394	Segurança e Democracia na Política Externa de Obama	2015		V Encontro da Associação Brasileira de Relações Internacionais							[]
1911899537342394	The Path and Pace of Democratization in Southern Cone South America: Types of Transition, Level of Repression, Society Demand and Other Independent Variables	2016		24th World Congress of Political Science ? IPSA.							[]
1911899537342394	Regime Change in American Foreign Policy: Military Interventions in Afghanistan, Iraq and Libya	2016		57th Annual Convention of the International Studies Association.							[]
1911899537342394	What Case Studies Tell about Foreign Imposed Regime Change that the FIRC Literature Does Not: the cases of recent American military intervention in Afghanistan, Iraq and Libya	2017		58th International Studies Association Annual Convention							['exportação de democracia pelo uso da força', 'política externa americana', 'Afeganistao', 'Iraque', 'Libia']
1911899537342394	Is it Possible to Export Democracy by the Use of Force? Military Intervention in Iraq and Libya	2014		FLACSO- ISA Joint Imternational Conference: Global and Regional Powers in a Changing World							['interesses', 'valores', 'política externa americana', 'Bush', 'Obama']
1920255833804512	Poder Legislativo e Política Externa: um estudo sobre a influência dos Legislativos da Argentina, do Brasil e do Chile na formulação da política comercial durante a década de 1990	2009		XXVIII International Congress of the Latin American Studies Association							[]
1920255833804512	Institutional Effects and State Behavior: Does Regional Integration Promotes Political Convergence	2011		52h Annual ISA Convention, Global Governance: Political Authority In Transition							[]
1920255833804512	Institutional Effects and State Behavior: Measuring the Political Convergence of Latin American Countries in United Nations	2011		69th Midwest Political Science Association Annual Conference							[]
1920255833804512	Constituency Size and Trade Policy Vote in Latin America	2013		ISA Annual Convention							[]
1920255833804512	Representação política e protecionismo:incentivos eleitorais e proteção tarifária	2013		III Seminário Discente da Pós-Graduação							[]
1920255833804512	Evaluating the Effect of Ideology of Governing Coalitions on Regional Integration Arrangements	2014		23rd World Congress of Political Science	9782924444015	1	1	1	1	181	[]
1920255833804512	Electoral Systems and Protectionism: Evaluating the Effects and Casual Mechanisms behind the Proportional and Plurality Rules	2013		ISA Annual Convention							[]
2142163449017349	Automated Design Assitance for Self-Help Activities: the Case of Camipnas, Brazil	2000		International Conference Megacities 2000		2	2		1	10	['auto-construção', 'habitação', 'prédios escolares', 'metodologia de projeto']
2142163449017349	Structuring design, drafting and CAD Knowledge in the New Architecture Course of UNICAMP	1999		II International Conference Expressão Gráfica							['metodologia de projeto', 'CAD - computer aided design', 'Ensino de Projeto Arquitetônico']
2142163449017349	Solid Modeling in Building Design Education: A Civil Engineering Course experience	1995		EDU-GRAPHICS 95, Second International Conference on Graphics Education and fourth International Conference on Computational Graphics and Visualization Techniques		1			62	68	['Ensino de Projeto Arquitetônico', 'CAD - computer aided design']
2142163449017349	Aesthetics and Self-Built Houses: An Analysis of a Brazilian Setting	1995		XIII th International Congress of Aesthetics		1			146	156	['estética', 'habitação', 'auto-construção', 'humanização']
2142163449017349	Challenges of Teaching CAD in Civil Engineering Courses	1993		EDU-GRAPHICS 93, Third International Conferece on Computational Graphics and Visualization Techniques		1			208	217	['CAD - computer aided design', 'Ensino de Projeto Arquitetônico']
2142163449017349	Design Methods for the Practice of Architectural Design in São Paulo	1993		Symposium on Computer Assisted Building Design Systems		1			37	46	['CAD - computer aided design', 'metodologia de projeto']
2142163449017349	Arquiteturas do Morar: Comportamento e Espaço Concreto	2000		Seminário Internacional de Psicologia e Projeto do Ambiente Construído							['auto-construção', 'habitação', 'comportamento humano e ambiente construído']
