ID-Lattes	Título	Ano	Tipo	Natureza	Volumes	Páginas	ISBN	Edição	Série	Editora	Palavras-chave	
1316989924322885	A pré-história da economia: de Maquiavel a Adam Smith	1988	LIVRO_PUBLICADO	NAO_INFORMADO		167				Editora Hucitec	['Metodologia Economica', 'Teoria do Conhecimento']
1316989924322885	Metodologia econômica: Ensaios	1988	LIVRO_PUBLICADO	NAO_INFORMADO		146				IPE	['Metodologia Economica']
1316989924322885	Mobilidade, estratégia de sobrevivência	1983	LIVRO_PUBLICADO	NAO_INFORMADO		00150				IPE	['Mobilidade Social']
1316989924322885	Pobreza rural no Brasil: caracterização do problema e sugestões de política	1979	LIVRO_PUBLICADO	TEXTO_INTEGRAL		115				Ministério da Agricultura - CFP	['Emprego Rural', 'mercado de trabalho', 'Pequena Producao', 'Acao do Estado']
1316989924322885	A trajetória das negociações coletivas de trabalho nos anos 80	1985	LIVRO_PUBLICADO	TEXTO_INTEGRAL		118				IBRART, Ministério do Trabalho	[]
1316989924322885	Guia de economia comportamental e experimental	2015	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	398	9788556290007	1		EconomiaComportamental.org	['economia comportamental', 'Economia experimental']
1316989924322885	Questões de método na ciência econômica	1986	LIVRO_PUBLICADO	NAO_INFORMADO		129				IPE	['Metodologia da economia']
1805029396938951	Öffentliche Verwaltung in Brasilien und Deutschland	2019	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	343	9783658275501	1		Springer	['Políticas Públicas', 'Políticas Públicas Comparadas', 'Políticas Públicas Brasil', 'Políticas Públicas Alemanha']
1805029396938951	Participação e Saúde no Brasil	2009	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO			9788575411766	1		Fiocruz	['Conselho Estadual de Saúde', 'Conselho Nacional de Saúde', 'Conselhos Municipais de Saúde', 'Conselhos de Políticas Públicas', 'Participação', 'Politica de Saude Brasil']
1911899537342394	O Século 21 no Brasil e no Mundo	2006	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	309	8574603201	1a		EDUSC	[]
1911899537342394	Política e Políticas de uma energia Alternativa: O Caso do Proálcool	1993	LIVRO_PUBLICADO	TEXTO_INTEGRAL	1	352	8585622083	1a		Editora Notrya/ANPOCS	['processo decisório', 'Política do Álcool Combustível', 'Política de Barganha', 'Estado Burocrático Autoritário']
1920255833804512	Poder Legislativo e política externa na América Latina.	2013	LIVRO_PUBLICADO	TEXTO_INTEGRAL		77	9789877220001	1		CLACSO	[]
2142163449017349	Manual de Conforto Ambiental	2005	LIVRO_PUBLICADO	NAO_INFORMADO	1	54		1		Fundação Carlos Chagas	['Conforto Ambiental', 'Educação infantil', 'ambiente escolar']
2142163449017349	Manual do Conforto Ambiental: Instruções para o professor	2000	LIVRO_PUBLICADO	OUTRA		24					[]
2142163449017349	Arquitetura Escolar: o projeto do ambiente de ensino	2011	LIVRO_PUBLICADO	TEXTO_INTEGRAL	1	272	9788579750113			Oficina de Textos	['ambiente escolar', 'Avaliação de Projeto Arquitetônico', 'Avaliação Pós Ocupação APO', 'comportamento humano e ambiente construído', 'Conforto Ambiental', 'Funcionalidade']
2142163449017349	O processo de projeto em arquitetura: da teoria á tecnologia	2011	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO	1	504	9788579750			Editora de textos	['metodologia de projeto', 'Processo Criativo', 'Processo de projeto arquitetônico', 'Projeto Arquitetônico', 'processo de projeto em arquitetura e sua teoria', 'tecnologia no processo de projeto em arquitetura']
2142163449017349	Manual do Conforto Ambiental	2000	LIVRO_PUBLICADO	OUTRA	1	23					[]
2542913266521798	O Tradicional no Moderno: O Conflito em Micro e Pequenas Empresas	1991	LIVRO_PUBLICADO	TEXTO_INTEGRAL	1	164		1		IEL	['Pequenas Empresas', 'Gestão Organizacional']
2542913266521798	I Workshop Gestão de Competências nas Organizações	2001	LIVRO_PUBLICADO	COLETANEA			8590227510			Hexagon Design - UFMG - Isvor Knowlwdge System	['Gestão de Competências', 'Competências Organizacionais', 'Gestão de Recursos Humanos']
2542913266521798	1o Censo de Recursos Humanos da Atenção Primária do Estado de Minas Gerais	2006	LIVRO_PUBLICADO	TEXTO_INTEGRAL	1	144	8560500006	1		Observatório de Recursos Humanos em Saúde - Nig.one/UFMG	['Gestão de Recursos Humanos', 'Gestão Pública', 'Saúde', 'Saúde e Gestão']
2542913266521798	Proposição de Metodologia de Avaliação de Desempenho das Equipes de Saúde da Família e Satisfação dos Usuários: Um Desenho Elaborado a Partir de Cidades de Minas Gerais	2009	LIVRO_PUBLICADO	TEXTO_INTEGRAL		84	9788560500031			Observatório de Recursos Humanos me Saúde - Universidade Federal de Minas Gerais-SES/MG	['Saúde e Gestão', 'Estratégia de Saúde da Família', 'Desempenho']
2542913266521798	Estado, Empresas e Sociedade - Um Mosaico Luso-Brasileiro	2009	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		240	9780727729500			Edições Colibri	['Relações Brasil/Portugal']
2542913266521798	Economia, Gestão e Saúde - As relações luso-brasileiras em perspectiva	2011	LIVRO_ORGANIZADO_OU_EDICAO	LIVRO		265	9789896891534			Edições Colibri	[]
