ID-Lattes	Título	Ano	DOI	Veículo	ISSN	Volume	Fascículo	Serie	P-inicial	P-final	Palavras-chave	Autores	Quantidade-autores
1316989924322885	Polemizando: anotações de leitura sobre a crise na ciência econômica	1989		Estudos Econômicos. Instituto de Pesquisas Econômicas	01014161	19	2		205	224	['Consenso Keynesiano', 'Metodologia da economia']	BIANCHI, Ana Maria	1
1316989924322885	Reflexões sobre a organização do mercado de trabalho agrícola	1989		Revista Brasileira de Economia	00347140	9	1		31	46	['Trabalhador Volante', 'Trabalho Assalariado']	BIANCHI, Ana Maria; AGUIRRE, Basilia Maria	2
1316989924322885	A economia e sua crise de identidade	1984		Literatura Econômica	0100655X	6	4		577	594	['Crise da Economia', 'Economia Como Ciencia', 'Metodologia Economica']	BIANCHI, Ana Maria	1
1316989924322885	Preparação ocupacional e salários dos profissionais de nível superior na força de trab. industrial de São Paulo	1977		Cadernos de Pesquisa (Fundação Carlos Chagas)	01001574	20			111	123	['Estrutura Salarial', 'mercado de trabalho', 'Recursos Humanos']	HALLER, A. O.; PASTORE, J.; BIANCHI, Ana Maria	3
1316989924322885	Estrutura ocupacional de la indústria y demanda de mano de obra especializada	1974		Revista del Centro de Estúdios Educativos (México)	00456128	4	2		9	27	['Estrutura Salarial', 'Recursos Humanos']	HALLER, A. O.; PASTORE, J.; BIANCHI, Ana Maria	3
1316989924322885	Determinação de salários: Uso de um modelo causal.	1974		Estudos Econômicos. Instituto de Pesquisas Econômicas	01014161	4	2		7	26	['Capital Humano', 'Estrutura Salarial', 'mercado de trabalho']	PASTORE, J.; BIANCHI, Ana Maria	2
1316989924322885	Raul Prebisch and the beginnings of the Latin American School of economics: a rhetorical perspective	1999		Journal of Economic Methodology	1350178X	6	3		423	439	['história do pensamento econômico', 'Cepal', 'retórica']	BIANCHI, Ana Maria; SALVIANO JR, C.	2
1316989924322885	Are Brazilian economists different?	1998		Revista Brasileira de Economia	00347140	52	3		427	439	['racionalidade']	BIANCHI, Ana Maria	1
1316989924322885	Novas evidências acerca das ocupações no mercado de trabalho	1999		Nova Economia (UFMG)	01036351	9	1		61	87	['Estrutura ocupacional', 'Mobilidade Social']	BIANCHI, Ana Maria; PASTORE, J.	2
1316989924322885	Ethics and rationality among economists and others - some empirical findings	1997		Cadernos de Ciências Sociais (Porto)	08710945	2	2		920109		['racionalidade']	BIANCHI, Ana Maria	1
1316989924322885	Muitos métodos é o método: a respeito do pluralismo	1992		Revista de Economia Política	01013157	12	2		135	142	['Metodologia Economica', 'Pluralismo metodológico']	BIANCHI, Ana Maria	1
1316989924322885	Razão e paixões na pré-história da economia	1990		Estudos Econômicos. Instituto de Pesquisas Econômicas	01014161	20	3		151	170	['Economia Como Ciencia', 'história do pensamento econômico']	BIANCHI, Ana Maria	1
1316989924322885	A metodologia positivista na ciência econômica: uma visão inquieta	1988		Cadernos de Ciências Sociais (Porto)	08710945	7	7		81	95	['Economia Como Ciencia', 'história do pensamento econômico', 'Metodologia Cientifica', 'Metodologia da economia']	BIANCHI, Ana Maria; MONTERO, F.; MOTTA, J. F.	3
1316989924322885	O (presumido) paradoxo de Adam Smith, moralista e pai da economia	1988		Literatura Econômica	0100655X	10	1		3	28	['Adam Smith', 'Economia Como Ciencia', 'Metodologia Economica']	BIANCHI, Ana Maria	1
1316989924322885	Economistas de avental branco: uma defesa do método experimental na economia	2001		Revista de Economia Contemporânea	14159848	5	2		129	154	['Economia experimental', 'Economia Como Ciencia', 'racionalidade', 'Teoria dos jogos']	BIANCHI, Ana Maria; SILVA FILHO, Geraldo Andrade da	2
1316989924322885	For different audiences, different arguments: economic rhetoric at the beginning of the Latin American School	2002		History of Economics Society Bulletin (Cessou em 1989. Cont. ISSN 1053-8372 Journal of the History of Economic Thought)	10427716	24	3	3	291	305	['Cepal', 'retórica', 'Prebisch']	BIANCHI, Ana Maria	1
1316989924322885	Hicks e a revolução invisível: notas sobre a contribuição metodológica de J. R. Hicks	1992		Revista Brasileira de Economia	00347140	46	1		131	148	[]	BIANCHI, Ana Maria	1
1316989924322885	Concern with Policy-relevance in the Latin American School of Economics.	2003		Cadernos de Ciências Sociais (Porto)	08710945	18		4	2	10	['ECLA', 'Latin American School of Economics', 'Prebisch', 'Relevância política']	BIANCHI, Ana Maria	1
